"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación"
"BESP","A.M. San Cosme de Barreiros-Foz","F","A pé;","CTG, COC, RAE, PEE, LPZ, OYG, CLJ,","Bancos de Fondás, Taro, Fontorto,","100","De xaneiro a decembro,","Fondás, Fontorto, Estaleiro, O Taro,","Banco de Fondás (CL-163), Banco de O Taro (CL-167), Banco de Fontorto (CL-170),","2019048"
"BESP","C.P. Celeiro","F","A pé;","CTG, OYG, PEE, LPZ, COC, CLJ,","Entre a ponte do tren ata a canle do porto de Celeiro, Entrepontes, Praia de Covas, ponte da Misericordia, Canle, dos Castelos ata a praia da Abrela,","50","De xaneiro a decembro,","A Ponte Nova, canle da ría, praia de Sacido, praia de Covas, Viveiros,","Canal do porto (CL-143), Entrepontes (CL-141), (CL-142),; Os Castelos (CL-177), Praia de Covas (CL-148), Praia de Celeiro (CL-146),","2019049"
"BESP","C.P. O Vicedo","F","A pé;","CTG, CLJ, COC, OYG, RAE, PEE,","Dende debaixo das pontes ata o Rego Seco, illa San Martiño, praia de Villabril, praia de Moledos, praia de Fomento, praia Creiximil, Mexilloeira,","100","De xaneiro a decembro,","Lonxa do Vicedo,","Dende abaixo das pontes ata o Rego Seco (CL-112), Praia de Fomento (CL-108), Praia de Villabril (CL-113), (CL-174), (CL-112),; Praia de Moledos (CL-109), Illa San Martiño (CL-114), (CL-115),; Creiximil (CL-116), Mexilloeira (CL-110), (CL-111),;","2019050"
"BESP","C.P. Ribadeo","F","A pé;","CTG, RAE, PEE, LPZ, OYG, CLJ,","Dende A Vilavella ata as Aceñas, Tesón Sur, Taro fronte as Aceñas,","50","De abril a xuño, de setembro a novembro, RAE,: setembro a novembro,","Vilavella,","Dende A Vilavella ata As Aceñas (CL-155), Tesón sur (CL-150), O Taro fronte As Aceñas (CL-157),","2019051"
"BESP","A.M. Fonte de Santa Helena de Baldaio","F","A pé;","CTG, CLJ, COC, RAE,","Lagoas de Baldaio,","30","De xaneiro a decembro,","Fonte de Santa Helena (caseta),","Lagoa externa: banco da entrada (CF-046), banco das dunas (CF-043), banco A (CF-041), banco das pontes (CF-045),; Lagoa interna: banco C (CF-044),;","2019052"
"BESP","A.M. Esteiro do río Anllóns","F","A pé;","COC,","Zonas de libre marisqueo do esteiro do río Anllóns,","110","De xaneiro a decembro,","Pedras de Cambón, O Pendón, Ourixeira, Lodeiro,","O Pendón (CM-094), Lodeiro (CM-095), Canle Ourixeira (CM-092), Ourixeira (CM-126), Caduleira (CM-128), Petrallo (CM-280),","2019053"
"BESP","A.M. Rañeiras/os da Ria de Arousa, (plan conxunto) ","T","Embarcación;","COC, CTS, VNR, CTG, CLJ, VNA, DSX, VEV,","Lombos do Ulla, Boido, Cabio,","151","De xaneiro a abril, de outubro a decembro,","Zona de produción, batea de vixilancia, embarcación vixilancia,","Lombos de Ulla (AR-035),; O Boído 1 (AR-218-I), O Boido 2 (AR-281-II),; Cabío 1 (AR-112-I), Cabío 2 (AR-112-II),;","2019054"
"BESP","C.P. A Coruña","F","Embarcación;","CTG, CTS, VEV, SVE, ULO, VNR, VNA,","Banco do Parrote, Valiña, (barra da praia de Santa Cristina,) praia de Oza,","Parrote: 40, Valiña/Oza: 35,","Parrote: de maio a agosto, Valiña/Oza: de xaneiro a decembro,","Caseta dos vixiantes, (no antigo parque Abella,);","Banco de O Parrote (CF-022), Valiña -barra da praia de Santa Cristina (CF-020), praia de Oza (CF-021),","2019055"
"BESP","C.P. A Coruña","F","Embarcación;","CTG, CTS, COC, CLJ, OYF, OYG, VEV, VNA,","Zonas de libre marisqueo da ría do Burgo: dende a boca da ría da Pasaxe, As xubias, ata a ponte do Pasaxe,","80","De xaneiro a marzo, de setembro a decembro,","Caseta dos vixiantes, (no parque Abella,);","canle da Ría-1 (CF-010-I), canle da ría-2 (CF-010-II),","2019056"
"BESP","C.P. A Coruña","F","A pé;","CTG, CTS, COC, CLJ, OYF, OYG, VNA,","Zonas de libre marisqueo da ría do Burgo: dende a ponte da Pasaxe ata a liña imaxinaria que vai dende o colexio Santiago Apóstol ata o extremo leste da praia de Santa Cristina,","70","De xaneiro a decembro,","Baixo do edificio Copigal, (Oleiros)","Banco de A Baixada I (CF-011), banco de A Baixada II (CF-012), marxe dereita (CF-015), (CF-017),; praia de Santa Cristina (CF-013), punta da praia de Santa Cristina (CF-014), (CF-019),; marxe esquerda (CF-016), canle do Canijote (CF-018), antigo parque de García Abella (CF-318),","2019057"
"BESP","C.P. A Pobra do Caramiñal","F","A pé;","CTG, CLJ, CTS, COC, DSX,","Zona intermareal de punta Galduario a punta da Corna,","15","De xaneiro a decembro,","Praia Lombiña,","Zona intermareal do banco de Cabío (de punta Galduario a punta da Corna,) (AR-138),","2019058"
"BESP","C.P. Barallobre","F","A pé;","CTS, CTG, CLJ, COC, VNA, OYF, PEE,","Zona intermareal dende San Valentín ata a desembocadura do río Belelle,","124","De xaneiro a decembro,","Galpón do Puntal, lonxa de Barallobre,","O Regueiro, O Puntal, Neda,","2019059"
"BESP","C.P. Cedeira","F","A pé;","DON,","Praia de Vilarrube,","21","De xaneiro a abril, de outubro a decembro,","Caseta de Villa Herminia en Vilarrube,","Praia de Vilarrube (CL-096),","2019060"
"BESP","C.P. Cedeira","F","A pé;","COC, OYG, RAE,","Praia de Cedeira, (ou Magdalena,)","40, OX:100,","De xaneiro a decembro,","Casa do Pescador en Cedeira,","Praia de Cedeira (CL-097), (CL-123),","2019061"
"BESP","C.P. Corcubión","F","A pé;","CTG, CTS, CLJ, COC, EQI, LPZ, PEE, KLK, DSX,","Dende punta Arnela ata a desembocadura do río Xallas, (Ezaro,)","100, EQI,: 50, PEE, LPZ,: 6,","De xaneiro a decembro,","Zona de traballo, lonxa de Corcubión,","Praias de Cee (CM-078), Corcubión (CM-145), Sicar (pendente codificación),; Praias de Estorde (CM-076), Ézaro (CM-079),; Litoral rochoso entre punta Arnela ata a praia de Ézaro (CM-044), (CM-045), (CM-046), (CM-047), (CM-048),;","2019062"
"BESP","C.P. Fisterra","F","Embarcación;","CTS, VNR, KLK, ULO,","Bancos infralitorais da praia de Langosteira,","70","De xaneiro a decembro,","Rampla Sur, pantalán do porto de Fisterra, lonxa de Fisterra,","Bancos infralitorais da praia de Langosteira (CM-082),","2019063"
"BESP","C.P. Espasante","F","A pé;","CTG, CTS, CLJ, COC, DON, RAE, PEE, LPZ, OYF, OYG,","Enseada de Ladrido (ría de Ortigueira), da punta do espigón do porto de Ortigueira ata a depuradora,","160","De xaneiro a decembro,","Peiraos de Ortigueira, Ladrido, ponte Ladrido,","Dende a punta do Espigón á depuradora, antigo parque de Daniel (CL-221), praia de Morouzos (CL-095), antigo parque de Muiños 1 (CL-222-I), a Comboa (CL-093), Meseta C (CL-094-I), Meseta B (CL-094-II), antigo parque Muiños 2 (CL-222-II), antigo parque Muiños 3 (CL-222-III), cano de Barbos (RAE,) (CL-028), antigo parque de Ortigueira (CL-220), cano de Laxas (CL-225), cano de Laxas (RAE,) (CL-027), Cano chico (CL-025),","2019064"
"BESP","C.P. Ferrol, C.P. Barallobre, (plan conxunto)","T","A pé; Embarcación;","CTS, CTG, CLJ, COC, VNR, VEV, DSX, OYF, OYG, VNA, LVC, AKJ,","Infralitoral do libre marisqueo da ría de Ferrol, dende a liña de referencia de Monte Ventoso a punta Segaño ata a liña imaxinaria que une punta do Montón a punta das Pías, incluida Cabana-Malata,","250","De xaneiro a decembro,","A flote, nas lonxas de Ferrol, lonxa de Barallobre, lonxa de Mugardos,","-Sector 1: (GAL 03/03) (dende a liña do castelo de San Carlos a punta Segaño ata a liña de punta Leiras a punta Camposanto,) (CF-127), (CF-126), (CF-128), (CF-125), (CF-311-II), (CF-129),; (GAL 03/05) Enseada de Cabana-A Malta (CF-136),; -Sector 2: (punta Camposanto a punta Leiras de punta Leiras a punta Caranza con punta dos Castros) Subsector 2.a) (Zona comprendida entre punta Camposanto e punta Leiras e punta Leiras extremo do muelle comercial Fernández Ladrea) (GAL 03/04) parte de (CF-311-I),;  Subsector 2.b) (zona comprendida entre punta Leiras co extremo do muelle comercial Fernández Ladrea e punta Caranza con punta dos Castros) (GAL 03/04) parte de (CF-311-I), (CF-130), (CF-131), (CF-140-II),; -Sector 3: (Zona comprendida entre punta dos Castros e punta Caranza  a punta Montón con punta das Pías) Subsector 3.a): (GAL 03/07),; Subsector 3.b): Parte do (GAL 03/08-1) (zona de ameixa babosa de 38 mm),; (CF-140-I), (CF-134), (CF-133-II), (CF-132), (CF-135),;","2019065"
"BESP","C.P. Ferrol, C.P. Mugardos, C.P. Barallobre, (plan conxunto)","T","Rastro de vieira ou volandeira;","VSC,","Zona media da ría comprendida entre a liña imaxinaria que une punta dos Castros e punta Caranza, (agás as enseadas de Caranza e Cabana-A Malata), a liña imaxinaria que une punta Redonda e punta do Vispón,","56","De abril a novembro,","Lonxas de Ferrol, lonxa de Barallobre, lonxa de Mugardos,","(CF-137), (CF-124), (CF-125), (CF-129), (CF-130),","2019066"
"BESP","C.P. Lira","F","A pé;","LPZ,","De punta Insua a punta Larada,","20","De xaneiro a decembro,","Lonxa de Lira,","Detrás do muelle, detrás da lonxa vella,","2019067"
"BESP","C.P. Lira, C.P. O Pindo, (plan conxunto)","T","A pé;","COC, CTG,","Dende a desembocadura do río Xallas a punta Insua,","76","De xaneiro a decembro,","Praia da Berberecheira: estrada do Viso,; Praia de Lagoa, praia de Portocubelo, lonxa de Lira.","Praia da Berberecheira I (CM-073), Praia da Berberecheira II (CM-074), praia da Lagoa (CM-072), praia de Portocubelo (CM-171),","2019068"
"BESP","C.P. Miño","F","A pé; Embarcación;","CTG, CTS, COC, CLJ, OYF, RAE, PEE, OYG,","A pé: Bañobre, xuncal do río Baxoi, río Bañobre, punta Xurela-ponte do Porco, punta Cabana-praia do Pedrido,; Embarcación: de punta Curbeiros a punta Mauruxo, de punta Satareixa a punta Allo,","A pé: 160, Embarcación: 30,","De xaneiro a decembro,","Punto de venda do Pedrido,","Marisqueo a pé: Bañobre (CF-083), Ponte do Porco (CF-082), parque de Alpompor (CF-081), praia do Pedrido, parque de Policarpo Manso Varela, parque de María Monteiro Sabín,; Marisqueo embarcación: Punta Curbeiroa-punta Mauruxo, Punta Satareixa-Punta Allo,;","2019069"
"BESP","C.P. Noia, C.P. Muros, C.P. Porto do Son, Portosín, (plan conxunto)","T","Embarcación;","CTS, VNR, CTG, VNA, CLJ, VEV, ULO, COC, KLK, DSX,","Zonas de libre marisqueo entre Monte Louro e punta Uhia, entre punta Ormanda e punta Aguieira, banco da Creba 2,","48","De abril a setembro,","Embarcacións de vixilancia na zona de traballo, lonxa de Esteiro, peirao de Esteiro, lonxa de Muros, peirao de Muros (rampa de bateeiros, rampa da praia do Castelo,);","-ZONA 1 (Entre Monte Louro e Cabo Rebordiño): San Francisco (MN-022), Bouga-Rebordiño (MN-023-I),; -ZONA 2 (Entre Cabo Rebordiño e Punta Santa Catalina): Rebordito-Muros (MN-023-II), praia da Virxen-Avilleira (MN-063), Santa Catalina 1 (MN-065), Santa Catalina 2 (MN-066), (MN-053), (MN-055) (MN-061),; -ZONA 3 (Entre Punta Santa Catalina e Punta Uhía): Santa Catalina-Cabanas (MN-067), Cabanas-Borneira (MN-024), Borneira (MN-025), Borneira-Esteiro (MN-070), Enseada de Esteiro (MN-069), Esteiro interior (MN-026), Creba 1 (MN-027-I),; -ZONA 4 (Entre Punta Ornanda e Punta Aguieira): Batuda (MN-071), Portosín (MN-072), Aguieira (MN-073),; -ZONA 5: Banco da Creba 2 (MN-027-II),;","2019070"
"BESP","C.P. Noia, C.P. Muros, (plan conxunto)","T","A pé;","CTG, CTS, CLJ, COC, ULO,","Praia do Castillo, praia de Esteiro, desembocadura do rio Maior,","25","Abril, maio,","Peirao de Esteiro, lonxa de Esteiro, peirao de Muros, lonxa de Muros,","Banda Norte da ría: praia do Castillo, praia de Esteiro, desembocadura do río Maior,","2019071"
"BESP","Asociación de marisqueo a flote da ría de Vigo, C.P Baiona, C.P Arcade, (plan conxunto)","T","Embarcación;","CTG, CTS, VNR, CLJ, COC, VEV, ULO, VNA, KLK, DSX,","Sublitoral da ría de Vigo, agás a autorización de Baiona,","220","De xaneiro a decembro, con rotación de bancos","Zona de traballo en embarcación, (zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroas, Barra, Cies, Liméns, enseada de San Simón,) lonxa de Cangas, lonxa de Moaña, lonxa de Vilaboa, lonxa de Arcade, lonxa de Redondela, lonxa de Canido, lonxa de Vigo, lonxa de Baiona,"," -Bancos marisqueiros sublitorais da zona externa da ría de Vigo (Z-I, Z-II, Z-III): cara a terra da liña que une o castelo co peirao de Panxón (VI-128), O Barón-Pedra da Baiña (VI-129), Illas Estelas 11/07 (VI-191), Illas Estelas (GAL 11/01) (VI-190), Cies-Rodas (VI-053), Cies-San Martiño Alto (VI-054), Cies-San Martiño Baixo (VI-055), Cies-Muxeiro (VI-187), Toralla sur (VI-581), Toralla (VI-056), Canido-Buraceiro (VI-071), O Bao-río da Foz (VI-057), Cunchido de Samil (VI-189), Travesos (VI-058), Cabo de Mar I (inv) (VI-060), Cabo de Mar II (ver) (VI-146), Madorniña fora (VI-059), Madorniña terra (VI-061), Frontal de Bouzas (VI-062), A Guia-Cabrón (VI-009), A Cuncheira (VI-175), Cabanas (VI-174), Punta da Moa (VI-181), Arroás (VI-050), Peirao de Chapela (VI-188), Chapela (VI-051), Tirán-1 (VI-048), Tirán-2 (VI-049), Tirán-3 (VI-130), Rodeira (VI-045), Areeiro (VI-XXX), Enseada de Cangas (VI-046), Canastros verano (VI-041), Canastros inverno (VI-432), Borneira (VI-043), Massó-Balea (VI-042), Salgueirón (VI-044), Liméns (VI-182), Nerga (VI-566), Barra (VI-052), Sublitoral de Domaio, Tella, costal Domaio, Borna e Latón e sempre por fora das liñas delimitadas,; -Bancos marisqueiros sublitorais da zona interna da ría de Vigo: Pedra de Oliveira (VI-148), Lazareto e Pedra Branca (VI-176), A Portela sublitoral (VI-177), Area Nova – Puntal – Río do Medio (VI-002), Cabalo (VI-003), Río da Emilia (VI-151), Zona de berberecho (VI-180), As Pontes (VI-560), Area Nova do Cabalo (VI-559),; Figuras de protección: Parque Nacional Illas Atlánticas, LIC Ensenada San Simón,;","2019072"
"BESP","Asociación de marisqueo a flote da ría de Vigo, (plan conxunto)","T","Rastro de vieira ou volandeira;","QSC, VSC,","Liña imaxinaria que une Cabo Home con faro dos Carallóns, de faro dos Carallóns a punta Lameda, (cara ao interior da ría)","140","De xaneiro a decembro, cunha veda de dous meses consecutivos entre xuño e setembro,","Zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroás, Barra, Cíes, Liméns, Enseada de San Simón, Lonxa de Canido, Lonxa de Vigo, Lonxa de Redondela, Lonxa de Meira, Lonxa de Cangas, Lonxa de Vilaboa, Lonxa de Baiona, Lonxa de Arcade,","-Área 1: (Cabo Home co faro dos Carallóns e de aquí a punta Lameda e a liña que une Punta Borneira no litoral norte con Cabo Estai no litoral sur,); -Área 2: (de Punta Borneira no litoral norte con Cabo Estai no litoral sur e a liña que une punta Besta no litoral norte coa punta de Rande no litoral sur,); -Área 3: (da punta de Besta no litoral norte coa ponte de Rande no litoral sur cara ao fondo da ría de Vigo (enseada de San Simón),);","2019073"
"BESP","C.P. A Guarda","F","A pé;","LPZ,","De punta dos Picos a punta Orelludas,","48","De xaneiro a decembro, cunha veda de dous meses","Peirao do porto Santa Maria de Oia, lonxa da Guarda,","De punta dos Picos a punta Orelludas (VI-207): (A Rachada-Porto Vilar (VI-440), Porto Oia (Norte) (VI-441), Porto Oia (Sur) (VI-442), Tío Rincho (VI-443), Puntal dos Trigos (VI-444), Porto Agoeira (VI-445), Río Covo (VI-446), Amiadelo (VI-447), A Grelo-Camposancos (VI-448), Camposancos-Picos (VI-449),);","2019074"
"BESP","C.P. A Illa de Arousa","F","A pé;","CTG, CTS, CLJ, VNA, COC, DSX, PEE, RAE, EQK, LPZ,","De punta Quilme (excluido Espiñeiro,) a Sapeiras de Terra, (cara oeste e nordeste da illa)","160","De xaneiro a decembro,","O Naval, Espiñeiro, Gradín, Avilleira, A Salga, Semuíño, Aguiúncho, lonxa da Illa de Arousa,","Espiñeiro (AR-044), Gradín (AR-043), Abilleira (AR-042), O Campo (AR-045), Mallón (AR-355), A Comboa (AR-344), A Salga-Avilleira (AR-343), Semuiño-Testos (AR-342), Testos-Area Secada (AR-341), Area da Secada-Campelo (AR-322-I), (AR-322-II),; Campelo-Cantiño (AR-340), Lagartiño (AR-338), Aguiuncho-punta Furado (AR-321), Praia do Peixe (AR-331),","2019075"
"BESP","C.P. A Illa de Arousa","F","Embarcación;","CTG, CTS, VNR, CLJ, VNA, COC, VEV, DSX, GKL,","Liñas imaxinarias que unen punta Arruda con punta Laño, punta Carreirón con punta Cuña Alta, (inclúe Roncadeiras, O Camallón,), de punta Quilme (incluídas Aceñas) a Punta Aguiuncho, (cara oeste e noroeste da illa)","102","De abril a setembro,","Campelo, Niño do Corvo, Roncadeiras, lonxa da Illa de Arousa,","Espiñeiro-Mallón (AR-215), Punta Quilme-Arruda (AR-346), O Campo II (AR-057), Punta Testos- Punta Barbafeita (AR-333), Punta Barbafeita-Punta Cabalo (AR-332), (AR-334),; Punta Cabalo-Punta Campelo (AR-335), Punta Campelo- Cantiño (AR-336-I), (AR-336-II),; Cantiño-Aguiuncho (AR-337), As Aceñas (AR-054), Areoso (AR-051),","2019076"
"BESP","C.P. Arcade","F","A pé;","CTG, CLJ, COC,","Zona intermareal dende a caseta do Ceboleiro ata Pedra dos Caralletes,","200","De xaneiro a decembro,","Lonxa de Arcade,","Bancos: -(GAL 11/05): Malvinas (VI-167), Estralo (VI-170), Puntal-1 (VI-168-I), Río do Medio-1 (VI-186-I), Area Nova (VI-169), Río Alvedosas-1 (VI-172-I), Río de Paredes-1 (VI-001-I),; (GAL 11/06-1): Conejera (VI-171), O Puntal -2 (VI-168-II), Río do Medio-2 (VI-186-II),; (GAL 11/06-2): Río Alvedosas-2 (VI-172-II), Río de Paredes-2 (VI-001-II),; Figura de protección: LIC Enseada San Simón,;","2019077"
"BESP","C.P. Arcade, C.P. Vilaboa, (plan conxunto)","T","A pé;","CTG, CLJ, COC,","Bancos intermareais de punta Cabalo a pedra dos Caralletes, (Cunchido, Larache,)","35","De xaneiro a decembro,","Cunchido,","(GAL 11/6-02): Cunchido (VI-004), Larache (VI-005),","2019078"
"BESP","C.P. Bueu","F","Endeño remolcado;","VNR,","Entre punta Faxilda e punta Samieira, (Raxó), entre punta de Debaixo dos Pinos (Marín) e punta Preguntoiro,  entre praia Alada e Punta Couso,","15","Xaneiro e decembro,","Lonxa de Bueu,","(GAL 10/05): Área 1 MOURISCA,; Área 2 PESCADOIRA,; Área 4 PORTONOVO,; Área 5 CABICASTRO,; (GAL 10/06): Área 3 MARÍN,;","2019079"
"BESP","C.P. Bueu","F","Rastro de vieira ou volandeira; (para rabioso)","GKL,","Exterior do arquipélago das illas Ons, ao oeste das illas Ons e Onza, por fóra dos límites do Parque Nacional das Illas Atlánticas,","60","Xaneiro, decembro,","Lonxa de Bueu,","*","2019080"
"BESP","C.P. Bueu, C.P. Portonovo, C.P. Aldán-O Hio, (plan conxunto)","T","Embarcación;","CTG, CTS, VNA, VNR, CLJ, VEV, ULO, COC, KLK, GKL, LVC,","De punta Cabicastro a punta Santa Mariña, da esquina noroeste do convento sito en punta Praceres ata punta Couso, illas Ons e Onza,","229","De xaneiro a decembro, cunha veda dun mes entre abril e maio,","Lonxa de Portonovo, Lonxa de Aldán, Lonxa de Bueu,","Area 1-ALDÁN (de cabo Udra a punta Couso cara ao interior da ría) (GAL 10/01) (GAL 10/04): (PO-137), (PO-124), (PO-125), (PO-126), (PO-127), (PO-128), (PO-129), (PO-130), (PO-131), (PO-132-I), (PO-132-II), (PO-133), (PO-127), (PO-134), (PO-135), (PO-136),; Area 2-MOURISCA (de cabo Udra a esquina leste do porto de Bueu) (GAL 10/05): (PO-027), (PO-032), (PO-028),; Area 3-PESCADOIRA (da esquina oeste do porto de Bueu ata punta Aguete) (GAL 10/05): (PO-063), (PO-033), (PO-120), (PO-119), (PO-121),; Area 4-MARIN (de punta Aguete á punta Praceres (esquina noroeste do convento)) (GAL 10/06): (PO-047), (PO-116), (PO-117), (PO-115), (PO-128),; Area 5-PORTONOVO (de punta Cabicastro á punta Santa Mariña) (GAL 10/05): (PO-113-I), (PO-113-II), (PO-031), (PO-034),; Area 6-ONS (illas Ons e Oza) (GAL 10/01): (PO-030),;","2019081"
"BESP","C.P. Cambados","F","Embarcación;","CTG, CTS, VNR, VNA, CLJ, COC, VEV, DSX,","Do Rego do Alcalde (Lañeiras de Fóra) á baliza de Orido, Arnela, Galiñeiro, do peirao de Meloxo ata As Negreiriñas,","145","Xaneiro, de abril a setembro, decembro,","Embarcación de vixilancia na zona de traballo, batea de Tragrove, Lonxa de Tragove,","Área 1: Dende Rego do Alcalde (Lañeiras de Fora) á baliza de Orido (AR-216),; Area 2: Arnela-Galiñeiro (AR-018),; Área 3: Peirao de Meloxo ata as Negreiriñas (AR-111),;","2019082"
"BESP","C.P. Cangas","F","A pé;","CTS, CTG, CLJ, COC, LPZ, VNA, PEE, VEV,","Bancos intermareais desde punta Rodeira ata punta Couso,","120","De xaneiro a decembro,","Lonxa de Cangas, zona de traballo,","-Subzonas principais: (GAL 11/04) Congorza (VI-192), Massó, Praia Do Sinal (VI-047),; -Subzonas secundarias: (GAL 11/04) O Forte (VI-193), Salgueirón (VI-194), Praia de Balea (VI-195), Praia do Medio (VI-196),; (GAL 11/01-1) Praia do Porto (VI-197), Praia de Temperáns (VI-198), Praia das Moscas (VI-199), Areal dos Castros (VI-202),;","2019083"
"BESP","C.P. Cangas","F","A pé;","LPZ,","De punta Rodeira á praia de Canabal,","30","De agosto a decembro,","Lonxa de Cangas, Illa dos ratos,","(GAL 11/04) llla dos Ratos (VI-086),","2019084"
"BESP","C.P. Cangas","F","Endeño remolcado;","VNR,","Entre cabo Home e faro Borneira, as illas Cíes,","40","Xaneiro, de agosto a decembro,","Zona de produción, rampa da lonxa de Cangas,","GAL 11/04: Subzona 1 (Noroeste Ría de Vigo): Subrido – Salaiños (VI-007), Barra I (VI-008-I), Barra II (VI-008-II), Liméns (VI-091),; Subzona 2 (Illas Cíes): Cíes I (Illa Norte) (VI-006-I), Cíes II (Illa Sur) (VI-006-II),;","2019085"
"BESP","C.P. Carril","F","A pé;","CTG, CTS, CLJ, COC,","Lombos do Ulla, praia Compostela-A Concha,","180","De xaneiro a decembro,","Praia de Compostela-Concha, (4 puntos), Lombos do Ulla, (2 puntos)","Lombos do Ulla (AR-126), Praia de Compostela - A Concha (AR-036),","2019086"
"BESP","C.P. Carril","F","Embarcación;","CTG, CTS, CLJ, VNA, COC,","As Malveiras, As Briñas, O Con, Corbeiro,","150","De xaneiro a decembro,","Zona de produción,","As Malveiras–As Briñas–O Con (AR–038), O Corbeiro (AR-068),","2019087"
"BESP","C.P. O Grove","F","Embarcación;","CTG, CLJ, CTS, VNA, VNR, COC, VEV, DSX,","Delimitado na resolución de apertura (zona de producción: bancos de Moreiras, Meloxo, Migalliñas, Rons, Cantodorxo,)","150","De xaneiro a decembro,","Lonxa do Grove, embarcación de vixilancia,","(GAL 09/09) Moreiras-1 (AR-085-I), Meloxo (AR-086),; (GAL 09/01) Moreiras-2 (AR-085-II), Migalliñas (AR-087), Rons (AR-088), Cantodorxo-1 (AR-089-I),; (GAL 09/08) Cantodorxo-2 (AR-089-II),;","2019088"
"BESP","C.P. Moaña","F","A pé;","CTS, CTG, CLJ, VNA, COC, EQK, RAE, PEE, VEV, ULO,","Zona intermareal entre punta Travesada e a praia de Canabal,","190","De xaneiro a decembro,","Punta Travesada-peirao do forno do cal, Domaio, Tella, Meira, Xunqueira, lonxa de Meira, Borna, Con, Tirán, nas zonas rochosas traballadas,","Aradoiro (VI-145), Rande (VI-116), Fandicosta (VI-115), Domaio (VI 072), Domaio (solénidos) (VI-084), A Tella-1 (VI-087), Borna-A Tella (VI-114), Borna-1 (VI-076), Borna-2 (VI-077), Borna-3 (VI-078), Latón (VI-074), Arroás (VI-113-I), (VI-113-II),; O Cocho (VI-082-I), (VI-082-II),; Meira (VI-075), Meira (solénidos) (VI-085), Praia da Xunqueira (VI-079), Xunqueira (solénidos) (VI-083), Con (VI-081), Tirán (VI-080), Canaval-peirao Tirán (VI-073),; Figura de protección: LIC Enseada de San Simón","2019089"
"BESP","C.P. Moaña, C.P. Cangas, (plan conxunto)","T","A pé;","CTG, CTS, CLJ, COC, PEE, VNA, VEV,","De punta Rodeira ata a praia de Canabal, illa dos Ratos,","60","De xaneiro a decembro,","Illa dos Ratos, proximidades depuradora de Pilo,","Illa dos Ratos (VI-086),","2019090"
"BESP","C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, (plan conxunto)","T","A pé;","CTG, CTS, CLJ, COC, VNA, ULO, PEE, LPZ, RAE, VEV, DSX,","Zonas intermareais incluídas na parte interna da liña imaxinaria que une punta Santa Mariña, na beira norte da ría de Pontevedra, coa esquina noroeste do convento sito na punta Praceres, na zona sur da ría, desde este punto ata o faro verde da escollera da canalización do río Lérez,","160","De xaneiro a decembro,","Caseta de control en Placeres, Ameixal, na Seca, (Combarro); Zonas de produción de Raxó,","*","2019091"
"BESP","C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, C.P. Sanxenxo, C.P. Marín, (plan conxunto)","T","Embarcación;","CTG, CTS, CLJ, VNR, COC, VNA, ULO, VEV, OYF, DSX,","Parte interna da liña imaxinaria que une punta Santa Mariña, na beira norte da ría de Pontevedra, coa esquina noroeste do convento sito en punta Praceres, na zona sur da ría e desde punto ata o faro verde da escolleira da canalización do río Lérez,","153","Xaneiro, de marzo a decembro,","Embarcación na zona de produción, lonxa de Campelo,","-Río Lérez: (GAL 10/07) do peirao de Lourido ao fondo do río (PO 019-I),; (GAL 10/08-II) da ponte da Barca ao peirao de Lourido (PO 019-II),; -Os Cantís: (GAL 10/07) Os Cantís (PO 013-I), (PO-013 II),; -A Brensa: (GAL 10/06-II) A Brensa (PO-198),; -Aguillóns: (GAL 10/06-II) Os Aguillóns (PO-010),; -Raxó (Desde punta Aguillóns a punta Santa Mariña): (GAL 10/06-I) Raxó (PO-001),; (GAL 10/06-II) Raxó (PO-001),; -Lourizán: (GAL 10/07)Praceres-Lourizán (PO-023),; -Illa de Tambo norte (De punta Corbeiro a peirao de Tenlo): (GAL 10/06-2) Tambo norte-1 (PO-194),; (GAL 10/07) Tambo norte-2 (PO-195), -Illa de Tambo sur (De punta Corbeiro a peirao de Tenlo): (GAL 10/07) Tambo sur-1 (PO-196),; (GAL 10/06-2) Tambo sur-2 (PO-197),;","2019092"
