"tipo_Plan","entidad_promotora","conjunto","modalidad_captura","especies_objetivo","zona_Trabajo","dias_maximos","epoca_Trabajo","puntos_control","zonas_trabajo_detallada","ide_plan_explotación",
"BESP","C.P. Celeiro","F","A pé;","CTG, OYG, PEE, LPZ, CLJ,","Entre a ponte do tren ata a canle do porto de Celeiro; Entrepontes; praia de Covas, ponte da Misericordia e Canle; dos Castelos ata a praia da Abrela","CTG,: 25, OYG,: 25, PEE,: 45, LPZ,: 20, CLJ,: 10,","CTG,: de marzo a maio, xullo, agosto,; OYG,: de xaneiro a decembro,; PEE,: de febreiro a agosto, novembro, decembro,; LPZ,: de setembro a decembro,; CLJ,: de xaneiro a abril, de agosto a decembro,;","A Ponte Nova, canle da ría, praia de Sacido, praia de Covas, Viveiros, Os Castelos,"," -dende a ponte do tren ata a canle do porto de Celeiro: (CL-141), (clasificado zona C) /Ameixa fina, Ostra xaponesa, Caramuxo,/ (CL-142), /Caramuxo/ (CL-143), /Ameixa fina, Ostra xaponesa, Caramuxo, Ameixa xaponesa,/ (CL-145), (bancos clasificados como zona C provisional) /Ameixa fina,/; -Praia de Celeiro: (CL-146), (clasificada como C provisional), /Ameixa xaponesa,/; -Praia de Covas (CL-148), /Ostra xaponesa,/; -Dende Os Castelos ata a praia da Abrela (CL-177), /Lapa,/;","2017047"
"BESP","C.P. O Vicedo","F","A pé;","CTG, CLJ, COC, OYG, RAE, PEE,","Desde debaixo das pontes ata o Rego Seco, illa San Martiño, praia de Villabril, praia de Moledos, praia de Fomento, Vicedo Vello,","CTG, COC, OYG,: 50,; CLJ,: 40,; PEE,: 30,; RAE,: 15,;","CTG, COC, PEE, OYG, CLJ,: de xaneiro a decembro,; RAE,: de xaneiro a abril, de xullo a decembro,;","Lonxa do Vicedo,","Dende abaixo das pontes ata o Rego Seco, Illa San Martiño, Praia de Villabril, Praia de Moledos,Praia de Fomento e Vicedo vello. (CL-108), (CL-109), (CL-110), (CL-111), (CL-112), (CL-113), (CL-114), (CL-115), (CL-116), (CL-174),","2017048"
"BESP","C.P. Ribadeo","F","A pé;","CTG, RAE, PEE, LPZ,","CTG, PEE,: desde A Vilavella ao Puntal, praia dos Bloques,; LPZ,: de punta Promontorio ás Carallas, da Insua ao Puntal,; RAE,: desde Taro fronte ás Aceñas, Tesón sur, de Taro fronte a Chonos,;","65","CTG, PEE,: de abril a xuño, de setembro a novembro,; LPZ,: de setembro a novembro,; RAE,: abril, de setembro a novembro,;","Vilavella, Tesón Sur,","-Ameixa fina e caramuxo: Dende A Vilavella ao Puntal (CL-157), (CL-155),  Praia dos Bloques (CL-161),; -Longueirón vello: Taro fronte as Aceñas (CL-154), Tesón sur (CL-158), Taro fronte a Chonos (CL-153),; -Lapa: zona 1: (CL-122), desde punta Promontorio ata as Carrallas, zona 2: de a Insua ao Puntal (CL-155),;","2017049"
"BESP","A.M. Fonte Santa Helena-Baldaio","F","A pé;","CTG, CLJ, COC, RAE,","Lagoas de Baldaio","30","De xaneiro a decembro,","Fonte de Santa Helena,"," -Lagoa externa: banco da entrada (CF-046), banco das dunas (CF-043), banco A (CF-041), banco das pontes (CF-045),; -Lagoa interna: banco C (CF-044),;","2017050"
"BESP","A.M. Esteiro do río Anllóns","F","A pé;","COC, CLJ,","Zonas de libre marisqueo do esteiro do río Anllóns","COC,: 105, CLJ,: 30,","De xaneiro a decembro,","Pedras de Cambón, O Pendón, Ourixeira, Lodeiro,","O Pendón (CM-094), Lodeiro (CM-095), Canle Ourixeira (CM-092), Ourixeira (CM-126), Caduleira (CM-128),","2017051"
"BESP","C.P. A Coruña","F","Embarcación;","CTG, CTS, COC, VEV, SVE, ULO, DSX,","Banco do Parrote, Valiña (barra da praia de Santa Cristina), praia de Oza,","Parrote: 40,; Valiña/Oza: 35,;","Parrote: de maio a agosto,; Valiña/Oza: de xaneiro a decembro,;","Bancos de Valiña e Oza: local das Xubias,; Banco do Parrote: rampla da dársena da Mariña,;","Banco de O Parrote (CF-022), Valiña -barra da praia de Santa Cristina- (CF-020), praia de Oza (CF-021),","2017052"
"BESP","C.P. A Coruña","F","A pé; Embarcación;","CTG, CTS, COC, CLJ, OYF, OYG,","Zonas de libre marisqueo da ría do Burgo: desde a ponte da Pasaxe ata a liña imaxinaria que vai desde o colexio Santiago Apóstol ata o extremo leste da praia de Santa Cristina,","A pé: 70,; Emb: 80,;","De xaneiro a decembro,","A pé: baixo do edificio Copigal (Oleiros),; Embarcación: As Xubias (A Coruña),;"," -A Pé: banco de A Baixada I (CF-011), banco de A Baixada II (CF-012), marxe dereita (CF-015), (CF-017), praia de Santa Cristina (CF-013), punta da praia de Santa Cristina (CF-014), (CF-019), marxe esquerda (CF-016), canle do Canijote (CF-018), antigo parque de García Abella (CF-318),; -Dende embarcación: canle da Ría-1 (CF-010-1), canle da ría-2 (CF-010-II),;","2017053"
"BESP","C.P. A Pobra do Caramiñal","F","A pé;","CTG, CLJ, CTS, COC,","Zona intermareal de punta Galduario a punta da Corna,","15","Xaneiro, de febreiro e setembro,","Lonxa da Pobra do Caramiñal,","Zona intermareal do banco de Cabío (de punta Galduario a punta da Corna) (AR-138),","2017054"
"BESP","C.P. Barallobre","F","A pé;","CTS, CTG, CLJ, COC, VNA, OYF, PEE,","Zona intermareal desde San Valentín ata a desembocadura do río Belelle,","104","De xaneiro a decembro,","Embarcación de vixilancia na zona de extracción, pendello do Puntal, lonxa de Barallobre,","O Regueiro, O Puntal, Neda,","2017055"
"BESP","C.P. Cedeira","F","A pé;","DON,","Praia de Vilarrube,","50","De xaneiro a abril, de setembro a decembro,","Praia de Vilarrube,","Praia de Vilarrube (CL-096),","2017056"
"BESP","C.P. Cedeira","F","A pé;","COC,","Praia da Magdalena (ou Cedeira),","50","Abril, de xuño a decembro,","Casa do Pescador en Cedeira,","Praia de Cedeira: (CL-097),","2017057"
"BESP","C.P. Corcubión","F","A pé;","CTG, CTS, CLJ, COC, EQI, LPZ, PEE, DON,","Desde punta Arnela ata a desembocadura do río Xallas (Ézaro),","CTG, CTS, CLJ, COC,: 100,; EQI,: 50,; PEE, LPZ,: 6,;","De xaneiro a decembro,","Zona de traballo, lonxa de Corcubión,","Praia de Cee (CM-078), Praia de Corcubión (CM-145),; Praia de Estorde (CM-076), Praia de Ézaro (CM-079),; Litoral rochoso entre punta Arnela ata a praia de Ézaro (CM-044), (CM-045), (CM-046), (CM-047), (CM-048),","2017058"
"BESP","C.P. Espasante","F","A pé;","CTG, CTS, CLJ, COC, DON, RAE, PEE, LPZ, OYF, OYG,","Enseada de Ladrido (ría de Ortigueira), da punta do espigón do porto de Ortigueira ata a depuradora,","160","De xaneiro a decembro,","Peirao de Ortigueira, Peirao de Ladrido, ponte Ladrido,","Dende a punta do Espigón á depuradora, antigo parque de Daniel (CL-221), praia de Morouzos (CL-095), antigo parque de Muiños 1 (CL-222-I), a Comboa (CL-093), Meseta C (CL-094-I), Meseta B (CL-094-II), antigo parque Muiños 2 (CL-222-II), antigo parque Muiños 3 (CL-222-III), cano de Barbos (LV) (CL-028), antigo parque de Ortigueira (CL-220), cano de Laxas (CL-225), cano de Laxas (LV) (CL-027), Cano chico (CL-025),;","2017059"
"BESP","C.P. Ferrol, C.P. Barabllobre, (plan conxunto)","T","A pé; Embarcación;","CTS, CTG, CLJ, COC, VNR, VEV, DSX, OYF, OYG,","Zona comprendida entre a liña imaxinaria de Monte Ventoso a punta Segaño ata a liña imaxinaria que une o peirao da praia de Caranza co peirao de Astano,","199","De xaneiro a decembro,","Zonas de extracción, lonxa de Ferrol, lonxa de Barallobre,"," -Sector 1: dende a liña do castelo de San Carlos a punta Segaño ata a liña de punta Leiras a punta Camposanto (GAL 03/03 Zona B estable): (CF-127), (CF-126), (CF-128), (CF-125), (CF-311-II), (CF-129),; -Sector 2: (GAL 03/04 Zona B estable): (CF-311-I), (CF-130), (CF-131), (CF-140-II),; -Sector 3: (GAL 03/07 Zona B provisional): (CF-140-I), (CF-134), (CF-133-II), (CF-132),;","2017060"
"BESP","C.P. Ferrol, C.P. Mugardos, C.P. Barallobre, (plan conxunto)","T","Rastro de vieira ou voandeira;","VSC,","Zona media da ría comprendida entre a liña imaxinaria que une punta dos Castros e punta Caranza (agás as enseadas de Caranza, Cabana-A Malata,) a liña imaxinaria que une punta Redonda, e punta do Vispón,","42","De xaneiro a novembro,","Embarcación de vixilancia, lonxa de Ferrol, lonxa de Barallobre,","CF-137, CF-124, CF-125, CF-129, CF-130","2017061"
"BESP","C.P. Fisterra","F","Embarcación;","CTS, VNR, KLK, ULO,","Bancos infralitorais da praia de Langosteira,","110","De xaneiro a decembro,","Embarcación de vixilancia na zona de traballo, peirao de Fisterra, lonxa de Fisterra,","praia de Langosteira (infralitorais) (CM-082),: Zonas das Pardas, A Serra, río, Miradores, Exterior,","2017062"
"BESP","C.P. Lira","F","A pé;","LPZ,","De punta Insua a punta Larada,","15","De xaneiro a decembro,","Lonxa de Lira,","De punta Insua a punta Larada (CM-241), (CM-242), (CM-243), (CM-240),","2017063"
"BESP","C.P. Lira, C.P. O Pindo, (plan conxunto)","T","A pé;","COC, CTG,","Praia da Berberecheira, Praia  da Lagoa, Praia de Portocubelo,","65","De xaneiro a decembro,","Praia da Berberecheira: estrada do Viso, Praias de Lagoa e Portocubelo: lonxa de Lira,","Praia da Berberecheira I (CM-073), Praia da Berberecheira II (CM-074), praia da Lagoa (CM-072), praia de Portocubelo (CM-171),","2017064"
"BESP","C.P. Miño","F","A pé; Embarcación;","CTG, CTS, COC, CLJ, OYF, RAE, PEE,","A pé: Bañobre, xuncal do río Baxoi, río Bañobre, de punta Xurela a ponte do Porco, de punta Cabana a praia do Pedrido,; Embarcación: de punta Curbeiroa a punta Mauruxo, de punta Satareixa a punta Allo,","110","De xaneiro a decembro,","Punto de venda do Pedrido, Porto de Miño,","Bañobre (CF-083), Ponte do Porco Punta Curbeiroa-punta (CF-082), parque de Alpompor (CF-081), Mauruxo, praia do Pedrido, parques de Punta Satareixa-Punta Allo, (Policarpo Manso Varela, María Monteiro Sabín,),;","2017065"
"BESP","C.P. Noia, C.P. Muros, C.P. Porto do Son, C.P. Portosín, (plan conxunto)","T","Embarcación;","CTS, VNR, CTG, VNA, CLJ, VEV, ULO, COC, KLK, DSX,","Zonas de libre marisqueo entre Monte Louro e punta Uía, entre punta Ornanda e punta Aguieira e banco da Creba 2,","84","De abril a outubro,","Embarcacións de vixilancia na zona de traballo, lonxa de Esteiro,"," -ZONA 1: Entre Monte Louro e Cabo Rebordiño: San Francisco (MN-022), Bouga-Rebordiño (MN-023-I),; -ZONA 2: Entre Cabo Rebordiño e Pta. Santa Catalina: Rebordito-Muros (MN-023-II), praia da Virxen-Avilleira (MN-063), Santa Catalina 1 (MN-065), Santa Catalina 2 (MN-066), ademais (MN-053), (MN-055), (MN-061),; -ZONA 3: Entre Pta. Santa Catalina e Pta Uhía: Santa Catalina-Cabanas (MN-067), Cabanas-Borneira (MN-024), Borneira (MN-025), Borneira-Esteiro (MN-070), Enseada de Esteiro (MN-069), Esteiro interior (MN-026), Creba 1 (MN-027-I),; -ZONA 4: Entre Pta. Ornanda e Pta. Aguieira: Batuda (MN-071), Portosín (MN-072), Aguieira (MN-073),; -ZONA 5: Banco da Creba 2 (MN-027-II),;","2017066"
"BESP","C.P. O Pindo","F","A pé;","PEE, LPZ,","Da desembocadura do río Xallas ata a desembocadura do río Larada,","30","De xaneiro a decembro,","Porto de Quilmas, Insuela, punta Caldebarcos,","(CM-043), -Zona 1: desde a desembocadura do río Xallas ata punta Quilmas,; -Zona 2: desde punta Quilmas ata a punta Rego da Braña,; -Zona 3: desde Rego da Braña ata a punta Caldebarcos,; -Zona 4: desde punta Caldebarcos ata desembocadura do río Larada,;","2017067"
"BESP","Asociación de Marisqueo a Flote Ría de Vigo, C.P. de Baiona, (plan conxunto)","T","Embarcación;","CTG, CTS, VNR, CLJ, COC, VEV, ULO, VNA, KLK, DSX,","Bancos da ría de Vigo, excepto a autorización de Baiona,","220","De xaneiro a decembro, cunha veda de dous meses; É polo menos un mes e medio consecutivo entre abril e xuño,","Zona de traballo mediante embarcación (zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroas, Barra, Cies, Liméns, enseada de San Simón,) lonxa de Cangas, lonxa de Moaña, lonxa de Vilaboa, lonxa de Arcade, lonxa de Redondela, lonxa de Canido, lonxa de Vigo, lonxa de Baiona,"," -Bancos marisqueiros sublitorais da parte media e externa da ría de Vigo (Z I, Z II, Z III,): cara a terra da liña que une o castelo co peirao de Panxón (VI-128), O Barón-Pedra da Baiña (VI-129), Illas Estelas 11/07 (VI-191), Illas Estelas 11/01(VI-190), Cies-Rodas (VI-053), Cies-San Martiño Alto (VI-054), Cies-San Martiño Baixo (VI-055), Cies-Muxeiro (VI-187), Toralla sur (VI-581), Toralla (VI-056), Canido-Buraceiro (VI-071), O Bao-río da Foz (VI-057), Cunchido de Samil (VI-189),  Travesos (VI-058), Cabo de Mar (inv) (VI-060), Cabo de Mar (ver) (VI-146), Madorniña fora (VI-059), Madorniña terra (VI-061), Frontal de Bouzas (VI-062), A Guia-Cabrón (VI-009), A Cuncheira (VI-175), Cabanas (VI-174), Punta da Moa (VI-181), Arroás (VI-050), Peirao de Chapela (VI-188), Chapela (VI-051), Tirán-1 (VI-048), Tirán-2 (VI-049), Tirán-3 (VI-130), Rodeira (VI-045), Enseada de Cangas (VI-046), A Sinal (VI-047), Canastros verano (VI-041), Canastros inverno (VI-432), Borneira (VI-043), Massó-Balea (VI-042), Salgueirón (VI-044), Liméns (VI-182), Nerga (VI-566), Barra (VI-052),; -Sublitoral de Domaio, Tella, costal Domaio, Borna, Latón (sempre por fora das liñas delimitadas),; -Bancos marisqueiros sublitorais da parte interna da ría de Vigo: Pedra de Oliveira (VI-148), Lazareto e Pedra Branca (VI-176), A Portela sublitoral (VI-177), Area Nova – Puntal – Río do Medio (VI-002), Cabalo (VI-003), Río da Emilia (VI-151), Zona de berberecho (VI-180), As Pontes (VI-560), Area Nova do Cabalo (VI-559),; Figuras de protección: (1)Parque Nacional Illas Atlánticas, LIC Ens. San Simón,","2017068"
"BESP","Asociación de Marisqueo a Flote da Ría de Vigo, (plan conxunto)","T","Rastro de vieira ou voandeira;","QSC, VSC,","Liña imaxinaria que une Cabo Home con faro dos Carallóns e de faro dos Carallóns a punta Lameda, cara ao interior da ría","140","De xaneiro a decembro, cunha veda de dous meses consecutivos entre xuño e setembro,","Zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroás, Barra, Cíes, Liméns, enseada de San Simón, Lonxa de Arcade, Lonxa de Baiona, Lonxa de Canido, Lonxa de Vigo, Lonxa de Redondela, Lonxa de Meira, Lonxa de Cangas, Lonxa de Vilaboa,"," -Área 1: liña imaxinaria que une Cabo Home co faro dos Carallóns e de aquí a punta Lameda e a liña imaxinaria que une Punta Borneira no litoral norte con Cabo Estai no litoral sur,; -Área 2: liña imaxinaria que une Punta Borneira no litoral norte con Cabo Estai no litoral sur e a liña imaxinaria que une punta Besta no litoral norte coa punta de Rande no litoral sur,; -Área 3: da punta de Besta no litoral norte coa ponte de Rande no litoral sur cara ao fondo da ría de Vigo (enseada de San Simón),;","2017069"
"BESP","C.P. A Guarda","F","A pé;","LPZ,","De punta dos Picos a punta Orelludas,","48","De xaneiro a decembro, cunha veda nos meses de outubro e novembro,","Peirao do porto Santa Mª de Oia, lonxa da Guarda,","De punta dos Picos a punta Orelludas (VI-207), A Rachada-Porto Vilar (VI-440), Porto Oia (N) (VI-441), Porto Oia (S) (VI-442), Tío Rincho (VI-443), Puntal dos Trigos (VI-444), Porto Agoeira 8VI-445), Río Covo (VI-446), Amiadelo (VI-447), A Grelo-Camposancos (VI-448), Camposancos-Picos (VI-449),","2017070"
"BESP","C.P. A Illa de Arousa","F","A pé;","CTG, CTS, CLJ, VNA, COC, DSX, PEE, RAE, EQK, LPZ,","De punta Quilme a Sapeiras de Terra (cara oeste e nordeste da illa),","160","De xaneiro a decembro,","O Naval, Espiñeiro, Gradín, Avilleira, A Salga, Semuíño, Aguiúncho, lonxa da Illa de Arousa,","Espiñeiro (AR-044), Gradín (AR-043), Abilleira (AR-042), O Campo (AR-045), Punta Quilme-Espiñeiro (AR-328), Mallón (AR-355), A Comboa (AR-344), A Salga-Avilleira (AR-343), Semuiño-Testos (AR-342), Testos-Area Secad (AR-341), Area da Secada-Campelo (AR-322-I), (AR-322-II), Campelo-Cantiño (AR-340), Lagartiño (AR-338), Aguiuncho-punta Furado (AR-321), Praia do Peixe (AR-331),","2017071"
"BESP","C.P. A Illa de Arousa","F","Embarcación;","CTG, CTS, VNR, CLJ, VNA, COC, VEV, DSX,","Liñas imaxinarias que unen punta Arruda con punta Laño, punta Carreirón con punta Cuña Alta (inclúe Roncadeiras, O Camallón,), de punta Quilme a Sapeiras de Terra (cara oeste e noroeste da illa),","102","De abril a setembro,","Campelo, Niño do Corvo, Roncadeiras, lonxa da Illa de Arousa,","Espiñeiro-Mallón (AR-215), Punta Quilme-Arruda (AR-346), O Campo II (AR-057), Pta. Testos- Pta Barbafeita (AR-333), Pta. Barbafeita-Pta.Cabalo (AR-332), (AR-334), Pta. Cabalo- Pta. Campelo (AR-335), Pta. Campelo- Cantiño (AR-336-I), (AR-336-II), Cantiño-Aguiuncho (AR-337), As Aceñas (AR-054), Areoso (AR-051), As Aceñas (AR-054),","2017072"
"BESP","C.P. Arcade","F","A pé;","CTG, CLJ, COC,","Bancos intermareais desde a caseta do Ceboleiro ata Pedra dos Caralletes,","200","De xaneiro a decembro,","Lonxa de Arcade,"," -(GAL 11/05): Malvinas (VI-167), Estralo (VI-170), Puntal-1 (VI-168-I), Río do Medio-1 (VI-186-I), Area Nova (VI-169), Río Alvedosas-1 (VI-172-I), Río de Paredes-1 (VI-001-I),; -(GAL 11/06-1): Conejera (VI-171), O Puntal -2 (VI-168-II), Río do Medio-2 (VI-186-II),; -(GAL 11/06-2): Río Alvedosas-2 (VI-172-II), Río de Paredes-2 (VI-001-II),; Figura de protección: LIC Ens. San Simón,","2017073"
"BESP","C.P. Arcade, C.P. Vilaboa, (plan conxunto)","T","A pé;","CTG, CLJ, COC,","Bancos intermareais de punta Cabalo a pedra dos Caralletes (Cunchido e Larache),","35","De xaneiro a decembro,","Cunchido,"," -(GAL 11/6-02): Cunchido (VI-004), Larache (VI-005),;","2017074"
"BESP","C.P. Bueu","F","Endeño remolcado;","VNR,","Entre punta Faxilda e punta Samieira (Raxó), entre punta de Debaixo dos Pinos (Marín), punta Preguntoiro, entre praia Alada e Punta Couso,;","15","de Xaneiro e decembro,","Lonxa de Bueu,","-(GAL 10/05): Área 1 MOURISCA, Área 2 PESCADOIRA, Área 4 PORTONOVO, Área 5 CABICASTRO,; -(GAL 10/06): Área 3 MARÍN,;","2017075"
"BESP","C.P. Bueu","F","Rastro de vieira ou voandeira; (para rabioso),","GKL,","Exterior do arquipélago das illas Ons: ao oeste das illas Ons e Onza, por fóra dos límites do Parque Nacional das Illas Atlánticas,","60","De xaneiro a decembro,","Lonxa de Bueu,","*","2017076"
"BESP","C.P. Bueu, C.P. Portonovo, C.P. Aldán-O Hio, (plan conxunto)","T","Embarcación;","CTG, CTS, VNA, VNR, CLJ, VEV, ULO, COC, KLK, GKL, LVC,","De punta Cabicastro a punta Santa Mariña, da esquina noroeste do convento sito en punta Praceres ata punta Couso, illas Ons e Onza,","230","De xaneiro a decembro, cunha veda dun mes entre abril e maio,","Lonxa de Portonovo, Lonxa de Aldán, Lonxa de Bueu,"," -Area 1 - ALDÁN (de cabo Udra a punta Couso cara ao interior da ría. (GAL 10/01), (GAL 10/04),): (PO-137), (PO-124), (PO-125), (PO-126), (PO-127), (PO-128), (PO-129), (PO-130), (PO-131), (PO-132-I), (PO-132-II), (PO-133), (PO-127), (PO-134), (PO-135), (PO-136),; -Area 2−MOURISCA (de cabo Udra a esquina leste do porto de Bueu. (GAL 10/05),): (PO-027), (PO-032), (PO-028),; -Area 3−PESCADOIRA (da esquina oeste do porto de Bueu ata punta Aguete. (GAL 10/05),: (PO-063), (PO-033), (PO-120), (PO-119), (PO-121),; -Area 4 MARIN (de punta Aguete á punta Praceres (esquina noroeste do covento). (GAL 10/06),: (PO-047), (PO-116), (PO-117), (PO-115), (PO-128),; -Area 5 PORTONOVO (de punta Cabicastro á punta Santa Mariña. (GAL 10/05),: (PO-113-I), (PO-113-II), (PO-031), (PO-034),; -Area 6 ONS (illas Ons e Oza. (GAL 10/01),: (PO-030),;","2017077"
"BESP","C.P. Cambados","F","Embarcación;","CTG, CTS, VNR, VNA, CLJ, COC, VEV, DSX,","Do Rego do Alcalde (Lañeiras de Fóra) á baliza de Orido, Arnela-Galiñeiro, do peirao de Meloxo ata As Negreiriñas,","145","Xaneiro, De abril a setembro, Decembro,","Embarcación de vixilancia na zona de traballo, lonxa de Tragove,","Área 1: Dende Rego do Alcalde (Lañeiras de Fora) á  baliza de Orido (AR-216),; Area 2: Arnela-Galiñeiro (AR-018), Área 3: Peirao de Meloxo ata as Negreiriñas (AR-111),","2017078"
"BESP","C.P. Cangas","F","A pé;","CTS, CTG, CLJ, COC, LPZ, VNA, PEE,","Bancos intermareais desde punta Rodeira ata punta Couso,","120","De xaneiro a decembro,","Zona de traballo, lonxa de Cangas,"," -Subzonas principais: (GAL 11/04): Congorza (VI-192), Massó Praia Do Sinal (VI-047),; -Subzonas secundarias: (GAL 11/04): O Forte (VI-193), Salgueirón (VI-194), Praia de Balea (VI-195), Praia do Medio (VI-196),; (GAL 11/01-1): Praia do Porto (VI-197), Praia de Temperáns (VI-198), Praia das Moscas (VI-199), Areal dos Castros (VI-202),;","2017079"
"BESP","C.P. Cangas","F","A pé;","LPZ,","De punta Rodeira á praia de Canabal,","30","De agosto a decembro,","Lonxa de Cangas, Illa dos Ratos,","(GAL 11/04): llla dos Ratos (VI-086),","2017080"
"BESP","C.P. Cangas","F","Endeño remolcado;","VNR,","Entre cabo Home e faro Borneira, as illas Cíes,","40","Xaneiro, de agosto a decembro,","Zona de produción, rampla da lonxa de Cangas,","(GAL 11/04): -Subzona 1 (Noroeste Ría de Vigo): Subrido – Salaiños (VI-007), Barra I (VI-008-I), Barra II (VI-008-II), Liméns (VI-091),; -Subzona 2: Illas Cíes: Cíes I (Illa Norte) (VI-006-1), Cíes II (Illa Sur) (VI-006-2),;","2017081"
"BESP","C.P. Carril","F","A pé;","CTG, CTS, CLJ, COC,","Lombos do Ulla, praia Compostela-A Concha,","200","De xaneiro a decembro,","Praia de Compostela-Concha, Lombos do Ulla,","Lombos do Ulla (AR-126), Praia de Compostela - A Concha (AR-036),","2017082"
"BESP","C.P. Carril","F","Embarcación;","CTG, CTS, CLJ, VNA, COC,","As Malveiras, As Briñas, O Con e Corbeiro,","150","De xaneiro a decembro,","Zona de produción,","As Malveiras–As Briñas–O Con (AR–038), O Corbeiro (AR-068),","2017083"
"BESP","C.P. O Grove","F","Embarcación;","CTG, CLJ, CTS, VNA, VNR, COC, VEV, DSX,","Delimitado na resolución de apertura,","150","De xaneiro a decembro,","Lonxa do Grove, caseta de control (O Facho), embarcación de vixilancia,"," -(GAL 09/09): Moreiras-1 (AR-085-I), Meloxo (AR-086),; -(GAL 09/01): Moreiras-2 (AR-085-II), Migalliñas (AR-087), Rons (AR-088), Cantodorxo-1 (AR-089-I),; -(GAL 09/08): Cantodorxo-2 (AR-089-I),;","2017084"
"BESP","C.P. Moaña","F","A pé;","CTS, CTG, CLJ, VNA, COC, EQK, RAE, PEE, VEV, ULO,","Bancos intermareais entre a punta Travesada e a praia de Canabal,","170","De xaneiro a decembro,","Punta Travesada-peirao do Forno do Cal, Domaio, Tella, Meira, Xunqueira, lonxa de Meira, Borna, Con, Tirán, ou ben nas zonas rochosas traballadas en cada momento,","(GAL 11/02); (GAL 11/04); (GAL 11/05);: Aradoiro (VI-145), Rande (VI-116), Fandicosta (VI-115), Domaio (VI-072), Domaio-solénidos (VI-084), A Tella-1 (VI-087), Borna-A Tella (VI-114), Borna-1 (VI-076), Borna-2 (VI-077), Borna-3 (VI-078), Latón (VI-074), Arroás (VI-113-I), (VI-113-II), O Cocho (VI-082-I), (VI-082-II), Meira (VI-075), Meira-solénidos (VI-085), Praia da Xunqueira (VI-079), Xunqueira-solénidos (VI-083), Con (VI-081), Tirán (VI-080), Canaval-peirao Tirán (VI-073),;","2017085"
"BESP","C.P. Moaña, C.P. Cangas, (plan conxunto)","T","A pé;","CTG, CTS, CLJ, COC, PEE, VNA, VEV,","De punta Rodeira ata a praia de Canabal: illa dos Ratos,","60","De xaneiro a decembro,","Illa dos Ratos e depuradora de Pilo,","(GAL 11/05): llla dos Ratos (VI-086),","2017086"
"BESP","C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, (plan conxunto)","T","A pé;","CTG, CTS, CLJ, COC, VNA, ULO, DSX, PEE, LPZ, RAE, VEV,","Zonas intermareais incluídas na parte interna da liña imaxinaria que une punta Santa Mariña, na beira norte da ría de Pontevedra, coa esquina noroeste do convento sito na punta Praceres, na zona sur da ría, e desde este punto ata o faro verde da escollera da canalización do río Lérez","160","De xaneiro a decembro,","Casetas de control no cabo de Placeres, en Ameixal, na Reiboa (Combarro), A Cantareira, D. Bernardo,"," -PLACERES: (GAL10/08-1): zonas 6, 7, 5, 3 zona delimitada pola liña imaxinaria que vai de pta. Praceres ata o dique sur (con enfilación o peirao de Lourido ) e de aquí ata o extremo exterior do dique sur. (PO-022-I),; (GAL 10/08-2): zonas 6, 5, 4, 3, 2 e 1 zona delimitada pola liña imaxinaria que vai de pta. Praceres ata o peirao de Lourido cara ao interior da ría. (PO-022-II),; -LOURIDO: (GAL 10/08-2): A Puntada (PO-192), Ponte da autopista (PO-072), Ponte da autopista sur (PO-193),; -CAMPELO: (GAL 10/07): Polvorín (PO-020), O Ameixal zonas A1 e A2 (PO-018), Praia do peirao de Campelo (PO-017),; -COMBARRO: (GAL 10/07): Combarro Zonas C1, C2, C3 e C4 (PO-012),; -LITORAL DE SAMIERIA: (GAL 10/06): Canteira (PO-011-A), Bernardo (PO-008), O Ministro (PO-173), Ouriceira (PO-007), Covelo (PO-006),; -LITORAL RAXO: (GAL 10/06): O Laño (PO-005), O Carballo (PO-004), Fontemaior (PO-014), Sinás (PO-021), Raxo (PO-003), Xiorto (PO-002),;","2017087"
