tipoCode,entidad,conxunto,modalidade,especiesPlan,zonaTraballo,diasMax,epocaTraballo,puntosControl,BMSigremar,id_plan_explotacion
BESP,C.P. Celeiro,F,A pé;,"CTG, OYG, PEE, LPZ,","Entre a ponte do tren ata a canle do porto de Celeiro,; Entrepontes,; Praia de Covas, ponte da Misericordia, Canle,; dos Castelos ata a praia da Abrela,;","CTG,: 10,; OYG,: 12,; PEE,: 25,; LPZ,: 20,;","AF: de marzo a maio, xullo, agosto, decembro,; OYG,: xaneiro a decembro,; PEE,: febreiro a agosto, novembro, decembro,; LPZ,: outubro a decembro,;","A Ponte Nova, canle da ría, praia de Sacido, praia de Covas, Viveiros, Os Castelos,","Entrepontes (Ponte do tren) (CL-141), (CTG, OYG, PEE,) (clasificado zona C provisional); Misericordia (CL-142), (PEE); Canle (CL-143),(CTG, OYG, PEE,) (clasificado zona C provisional); Canle do Porto de Celeiro (CL-145), (CTG,) (clasificado zona C provisional); Praia De Covas (CL-148), (OYG,); Os Castelos-Praia Abrela (CL-177), (LPZ,);",2018048
BESP,C.P. O Vicedo,F,A pé;,"CTG, CLJ, COC, OYG, RAE, PEE,","Desde debaixo das pontes ata o rego Seco, illa San Martiño, praia de Villabril, praia de Moledos, praia de Fomento, Vicedo Vello,","COC, OYG,: 50,; CTG, PEE,: 25,; CLJ,: 20,; RAE,: 12,;","AF , COC, PEE, OYG, CLJ,: de xaneiro a decembro,; LonV: de xaneiro a abril, de xullo a decembro,;",Lonxa do Vicedo,"Dende abaixo das pontes ata o Rego Seco, Illa San Martiño, Praia de Villabril, Praia de Moledos,Praia de Fomento e Vicedo vello. (CL-108), (CL-109), (CL-110), (CL-111), (CL-112), (CL-113), (CL-114), (CL-115), (CL-116), (CL-174),",2018049
BESP,C.P. Ribadeo,F,A pé;,"CTG, RAE, PEE, LPZ,","CTG, PEE,: desde A Vilavella ao Puntal, praia dos Bloques,; LPZ,: de punta Promontoiro ás Carallas, da Insua ao Puntal,; RAE,: Taro fronte as Aceñas, Tesón Sur, Taro fronte a Chonos,;",60,"CTG, PEE,: de abril a xuño, de setembro a novembro,; LPZ,: de setembro a novembro,; RAE,: abril, de setembro a novembro,;","Vilavella,","Dende A Vilavella ata As Aceñas (CL-155), Tesón sur (CL-150), O Taro fronte As Aceñas (CL-154),",2018050
BESP,A.M. Fonte Santa Helena-Baldaio,F,A pé;,"CTG, CLJ, COC, RAE,","Lagoas de Baldaio,",30,"De xaneiro a decembro,",Fonte de Santa Helena;," -Lagoa externa: banco da entrada (CF-046), banco das dunas (CF-043), banco A (CF-041), banco das pontes (CF-045),; -Lagoa interna: banco C (CF-044),;",2018051
BESP,A.M. Esteiro do río Anllóns,F,A pé;,"COC, CLJ,","Zonas de libre marisqueo do esteiro do río Anllóns,","COC: 105,; CLJ: 30,;","De xaneiro a decembro,","Pedras de Cambón, O Pendón, Ourixeira, Lodeiro,","O Pendón (CM-094)(*), Lodeiro (CM-095), Canle Ourixeira (CM-092), Ourixeira (CM-126), Caduleira (CM-128), Petrallo (CM-280),",2018052
BESP,C.P. A Coruña,F,Embarcación;,"CTG, CTS, COC, VEV, SVE, ULO, DSX,","Banco do Parrote, Valiña (barra da praia de Santa Cristina) e praia de Oza,","Parrote: 40,; Valiña-Oza: 35,;","Parrote: de maio a agosto,; Valiña/Oza: de xaneiro a decembro,;","Bancos de Valiña e Oza: local das Xubias,; Banco do Parrote: rampa da dársena da Marina,;","Banco de O Parrote (CF-022), Valiña -barra da praia de Santa Cristina- (CF-020), praia de Oza (CF-021),",2018053
BESP,C.P. A Coruña,F,A pé; Embarcación;,"CTG, CTS, COC, CLJ, OYF, OYG,","Zonas de libre marisqueo da ría do Burgo: desde a ponte da Pasaxe ata a liña imaxinaria que vai desde o colexio Santiago Apóstol ata o extremo leste da praia de Santa Cristina,","A pé: 70,; Emb: 80,;","De xaneiro a decembro,","A pé: baixo do edificio Copigal (Oleiros),; Embarcación: Xubias (A Coruña),;","A Pé: banco de A Baixada I (CF-011), banco de A Baixada II (CF-012), marxe dereita (CF-015), (CF-017), praia de Santa Cristina (CF-013), punta da praia de Santa Cristina (CF-014), (CF-019), marxe esquerda (CF-016), canle do Canijote (CF-018), antigo parque de García Abella (CF-318),; Dende embarcación: canle da Ría-1 (CF-010-1), canle da ría-2 (CF-010-II),;",2018054
BESP,C.P. A Pobra do Caramiñal,F,A pé;,"CTG, CLJ, CTS, COC,","Zona intermareal de punta Galduario a punta da Corna,",15,"De xaneiro a outubro,","Lonxa da Pobra do Caramiñal e zonas de produción,","Zona intermareal do banco de Cabío (de punta Galduario a punta da Corna) (AR-138),",2018055
BESP,C.P. Barallobre,F,A pé;,"CTS, CTG, CLJ, COC, VNA, OYF, PEE,","Zona intermareal desde San Valentín ata a desembocadura do río Belelle,",104,"De xaneiro a decembro,","Embarcación de vixilancia na zona de extracción, galpón do Puntal, lonxa de Barallobre,","O Regueiro, O Puntal, Neda (CF-142), Perlío,",2018056
BESP,C.P. Cedeira,F,A pé;,"DON,","Praia de Vilarrube,",35,"De xaneiro a abril, de outubro a decembro,","Praia de Vilarrube,","Praia de Vilarrube (CL-096),",2018057
BESP,C.P. Cedeira,F,A pé;,"COC,","Praia da Magdalena (ou Cedeira),",10,"De outubro a decembro,","Casa do Pescador en Cedeira,","Praia de Cedeira: (CL-097),",2018058
BESP,C.P. Corcubión,F,A pé;,"CTG, CTS, CLJ, COC, EQI, LPZ, PEE, KLK, ULO, DSX,","Desde punta Arnela ata a desembocadura do río Xallas (Ézaro),","100,; EQI: 50,; PEE, LPZ: 6,;","De xaneiro a decembro,","Zona de traballo, lonxa de Corcubión,","Praias de Cee (CM-078), Corcubión (CM-145), Sicar (pendente codificación),; Praias de Estorde (CM-076), Ézaro (CM-079),; Litoral rochoso entre punta Arnela ata a praia de Ézaro: (CM-044), (CM-045), (CM-046), (CM-047), (CM-048),;",2018059
BESP,C.P. Espasante,F,A pé;,"CTG, CTS, CLJ, COC, DON, RAE, PEE, LPZ, OYF, OYG,","Enseada de Ladrido (ría de Ortigueira), da punta do espigón do porto de Ortigueira ata a depuradora,",160,"De xaneiro a decembro,","Peirao de Ortigueira, Peirao de Ladrido, ponte Ladrido,","Dende a punta do Espigón á depuradora, antigo parque de Daniel (CL-221), praia de Morouzos (CL-095), antigo parque de Muiños 1 (CL-222-I), a Comboa (CL-093), Meseta C (CL-094-I), Meseta B (CL-094-II), antigo parque Muiños 2 (CL-222-II), antigo parque Muiños 3 (CL-222-III), cano de Barbos (LV) (CL-028), antigo parque de Ortigueira (CL-220), cano de Laxas (CL-225), cano de Laxas (LV) (CL-027), Cano chico (CL-025),",2018060
BESP,"C.P. Ferrol, C.P. Barallobre, (plan conxunto)",T,A pé; Embarcación;,"CTS, CTG, CLJ, COC, VNR, VEV, DSX, OYF, OYG,","Infralitoral do libre marisqueo da ría de Ferrol, desde a liña de referencia de Monte Ventoso a punta Segaño ata a liña imaxinaria que une punta do Montón a punta das Pías,;",250,"De xaneiro a decembro,","Embarcación de vixilancia nas zonas de extracción, lonxa de Ferrol, lonxa de Barallobre,","Sector 1: dende a liña do castelo de San Carlos a punta Segaño ata a liña de punta Leiras a punta Camposanto (coincide co GAL 03/03) -Códigos SIGREMAR (dende a zona máis externa á máis interna da ría): (CF-127), (CF-126), (CF-128), (CF-125), (CF-311-II), (CF-129), (Clasif. microbiolóxica: GAL 03/03 – Zona B estable.); Sector 2: Coincide co GAL 03/04 -Códigos SIGREMAR (dende a zona máis externa á máis interna da ría): (CF-311-I), (CF-130), (CF-131), (CF-140-II), (Clasif. microbiolóxica: GAL 03/04 – Zona B estable); Sector 3: (GAL 03/07 e parte do GAL 03/08-1) -Códigos SIGREMAR: (CF-140-I), (CF-134), (CF-133-II), (CF-132), (Clasif. microbiolóxica: GAL 03/07 – Zona B provisional) (Parte do GAL 03/08-1 (zona ameixa babosa de 38 mm) Clasif. microbiolóxica: GAL 03/08-1 – Zona B estable),;",2018061
BESP,"C.P. Ferrol, C.P. Mugardos, C.P. Barallobre, (plan conxunto)",T,Rastro de vieira ou volandeira;,"VSC,","Zona media da ría comprendida entre a liña imaxinaria que une punta dos Castros e punta Caranza (agás as enseadas de Caranza e Cabana-A Malata), a liña imaxinaria que une punta Redonda e punta do Vispón,",42,"De xaneiro a novembro,","Embarcación de vixilancia, lonxa de Ferrol, lonxa de Barallobre,","(CF-137), (CF-124), (CF-125), (CF-129), (CF-1309,",2018062
BESP,C.P. Lira,F,A pé;,"LPZ,","De punta Insua a punta Larada,",20,"De xaneiro a decembro,","Lonxa de Lira,","Ardeleiros, Susiños, detrás do muelle, detrás da lonxa vella,",2018063
BESP,"C.P. Lira, C.P. O Pindo, (plan conxunto)",T,A pé;,"COC, CTG,","Dende a desembocadura do río Xallas a punta Insua,",65,"De xaneiro a decembro,","Praia da Berberecheira: estrada do Viso,; Praias de Lagoa, Portocubelo, lonxa de Lira,;","Praia da Berberecheira I (CM-073), Praia da Berberecheira II (CM-074), praia da Lagoa (CM-072), praia de Portocubelo (CM-171),",2018064
BESP,C.P. Miño,F,A pé; Embarcación;,"CTG, CTS, COC, CLJ, OYF, RAE, PEE,","A pé: Bañobre, xuncal do río Baxoi, río Bañobre, punta Xurela-ponte do Porco, punta Cabana-praia do Pedrido,; Embarcación: de punta Curbeiroa a punta Mauruxo, de punta Satareixa a punta Allo,;","A pé: 160 (zona B),; 110 (resto),; Emb: 30,;","De xaneiro a decembro,","Punto de venda do Pedrido, porto de Miño,","Bañobre (CF-083), Ponte do Porco Punta Curbeiroa-punta (CF-082), parque de Alpompor (Mauruxo) (CF-081), praia do Pedrido e parques de Punta Satareixa-Punta Allo Policarpo Manso Varela, María Monteiro Sabín,",2018065
BESP,"C.P. Noia, C.P. Muros, C.P. Porto do Son, C.P. Portosín, (plan conxunto)",T,Embarcación;,"CTS, VNR, CTG, VNA, CLJ, VEV, ULO, COC, KLK, DSX,","Zonas de libre marisqueo entre Monte Louro e punta Uhía, entre punta Ormanda e punta Aguieira, banco da Creba 2;",84,"De abril a maio, de xullo a setembro,","Embarcacións de vixilancia na zona de traballo, lonxa de Esteiro, peirao de Esteiro, lonxa de Muros, peirao de Muros,;","ZONA 1: Entre Monte Louro e Cabo Rebordiño: San Francisco (MN-022), Bouga-Rebordiño (MN-023-I),; ZONA 2: Entre Cabo Rebordiño e Pta. Santa Catalina: Rebordito-Muros (MN-023-II), praia da Virxen-Avilleira (MN-063), Santa Catalina 1 (MN-065), Santa Catalina 2 (MN-066), (MN-053), (MN-055), (MN-061),; ZONA 3: Entre Pta. Santa Catalina e Pta Uhía: Santa Catalina-Cabanas (MN-067), Cabanas-Borneira (MN-024), Borneira (MN-025), Borneira-Esteiro (MN-070), Enseada de Esteiro (MN-069), Esteiro interior (MN-026), Creba 1 (MN-027-I),; ZONA 4: Entre Pta. Ornanda e Pta. Aguieira: Batuda (MN-071), Portosín (MN-072), Aguieira (MN-073),; ZONA 5: Banco da Creba 2 (MN-027-II),;",2018066
BESP,"C.P. Noia, C.P. Muros, (plan conxunto)",T,A pé;,"CTG, CTS, CLJ, COC, KLK,","Praia do Castillo, praia de Esteiro, desembocadura do rio Maior,",25,"Abril, maio,","lonxa de Esteiro, peirao de Esteiro, lonxa de Muros, peirao de Muros,","Banda Norte da ría: praia do Castillo, praia de Esteiro, desembocadura do río Maior,'",2018067
BESP,C.P. O Pindo,F,A pé;,"PEE, LPZ,","Da desembocadura do río Xallas ata a desembocadura do río Larada,",30,"De xaneiro a decembro,","Porto de Quilmas, Insuela, punta Caldebarcos,","(CM-043), Zona 1: desde a desembocadura do río Xallas ata punta Quilmas; Zona 2: desde punta Quilmas ata a punta Rego da Braña; Zona 3: desde Rego da Braña ata a punta Caldebarcos; Zona 4: desde punta Caldebarcos ata desembocadura do río Larada;",2018068
BESP,"Asociación de marisqueo a flote ría de Vigo, C.P. Baiona, (plan conxunto)",T,Embarcación;,"CTG, CTS, VNR, CLJ, COC, VEV, ULO, VNA, KLK, DSX,","Bancos sublitorais da ría de Vigo, agás a autorización de Baiona,",220,"De xaneiro a decembro,","Zona de traballo mediante embarcación: zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroas, Barra, Cies, Liméns, enseada de San Simón,; lonxa de Cangas, lonxa de Moaña, lonxa de Vilaboa, lonxa de Arcade, Redondela, lonxa de Canido, lonxa de Vigo, lonxa de Baiona,"," -Bancos marisqueiros sublitorais da parte media e externa da ría de Vigo: ZI, Z II, Z III: cara a terra da liña que une o castelo co peirao de Panxón (VI-128), O Barón-Pedra da Baiña (VI-129), Illas Estelas 11/07 (VI-191), Illas Estelas 11/01 (VI-190), Cies-Rodas (VI-053), Cies-San Martiño Alto (VI-054), Cies-San Martiño Baixo (VI-055), Cies-Muxeiro (VI-187), Toralla sur (VI-581), Toralla (VI-056), Canido-Buraceiro (VI-071), O Bao-río da Foz (VI-057), Cunchido de Samil (VI-189), Travesos (VI-058), Cabo de Mar (inv) (VI-060), Cabo de Mar (ver) (VI-146), Madorniña fora (VI-059), Madorniña terra (VI-061), Frontal de Bouzas (VI-062), A Guia-Cabrón (VI-009), A Cuncheira (VI-175), Cabanas (VI-174), Punta da Moa (VI-181), Arroás (VI-050), Peirao de Chapela (VI-188), Chapela (VI-051), Tirán-1 (VI-048), Tirán-2 (VI-049), Tirán-3 (VI-130), Rodeira (VI-045), Enseada de Cangas (VI-046), Canastros verano (VI-041), Canastros inverno (VI-432), Borneira (VI-043), Massó-Balea (VI-042), Salgueirón (VI-044), Liméns (VI-182), Nerga (VI-566), Barra (VI-052), -Sublitoral de Domaio, Tella, costal Domaio, Borna e Latón e sempre por fora das liñas delimitadas,; -Bancos marisqueiros sublitorais da parte interna da ría de Vigo: Pedra de Oliveira (VI-148), Lazareto e Pedra Branca (VI-176), A Portela sublitoral (VI-177), Area Nova – Puntal – Río do Medio (VI-002), Cabalo (VI-003), Río da Emilia (VI-151), Zona de berberecho (VI-180), As Pontes (VI-560), Area Nova do Cabalo (VI-559),; Figuras de protección: Parque Nacional Illas Atlánticas, LIC Ens. San Simón,;",2018069
BESP,Asociación de marisqueo a flote da ría de Vigo (plan conxunto),T,Rastro de vieira ou volandeira;,"QSC, VSC,","Liña imaxinaria que une Cabo Home con faro dos Carallóns e de faro dos Carallóns a punta Lameda, cara ao interior da ría,",140,"De xaneiro a decembro, cunha veda de dous meses consecutivos entre xuño e setembro,","Zona da Guía, Bouzas, Massó, praia de Cangas, Tirán, Arroás, Barra, Cíes, Liméns e Enseada de San Simón. Lonxas de Canido, Vigo, Redondela, Meira, Cangas, Vilaboa,"," -Área 1: liña imaxinaria que une Cabo Home co faro dos Carallóns e de aquí a punta Lameda e a liña imaxinaria que une Punta Borneira no litoral norte con Cabo Estai no litoral sur,; -Área 2: liña imaxinaria que une Punta Borneira no litoral norte con Cabo Estai no litoral sur e a liña imaxinaria que une punta Besta no litoral norte coa punta de Rande no litoral sur,; -Área 3: da punta de Besta no litoral norte coa ponte de Rande no litoral sur cara ao fondo da ría de Vigo (enseada de San Simón),;'",2018070
BESP,C.P. A Guarda,F,A pé;,"LPZ,","De punta dos Picos a punta Orelludas,",48,"De xaneiro a decembro, cunha veda nos meses de outubro e novembro;","Peirao do porto Santa Mª de Oia, lonxa da Guarda,","De punta dos Picos a punta Orelludas (VI-207):  A Rachada-Porto Vilar (VI-440), Porto Oia (N) (VI-441), Porto Oia (S) (VI-442), Tío Rincho (VI-443), Puntal dos Trigos (VI-444), Porto Agoeira 8VI-445), Río Covo (VI-446), Amiadelo (VI-447), A Grelo-Camposancos (VI-448), Camposancos-Picos (VI-449),;",2018071
BESP,C.P. A Illa de Arousa,F,A pé;,"CTG, CTS, CLJ, VNA, COC, DSX, PEE, RAE, EQK, LPZ,","De punta Quilme a Sapeiras de Terra, (cara oeste e nordeste da illa);",160,"De xaneiro a decembro,","O Naval, Espiñeiro, Gradín, Avilleira, A Salga, Semuíño, Aguiúncho, lonxa da Illa de Arousa,","Espiñeiro (AR-044), Gradín (AR-043), Abilleira (AR-042), O Campo (AR-045), Punta Quilme-Espiñeiro (AR-328), Mallón (AR-355), A Comboa (AR-344), A Salga-Avilleira (AR-343), Semuiño-Testos (AR-342), Testos-Area Secada (AR-341), Area da Secada-Campelo (AR-322-I), (AR-322-II), Campelo-Cantiño (AR-340), Lagartiño (AR-338), Aguiuncho-punta Furado (AR-321), Praia do Peixe (AR-331),;",2018072
BESP,C.P. A Illa de Arousa,F,Embarcación;,"CTG, CTS, VNR, CLJ, VNA, COC, VEV, DSX, GKL,","Liñas imaxinarias que unen punta Arruda con punta Laño e punta Carreirón con punta Cuña Alta (inclúe Roncadeiras e O Camallón),; de punta Quilme a Sapeiras de Terra (cara oeste e noroeste da illa),;",102,"De abril a setembro,","Campelo, Niño do Corvo, Roncadeiras, lonxa da Illa de Arousa, Concerrado,","Espiñeiro-Mallón (AR-215), Punta Quilme-Arruda (AR-346), O Campo II (AR-057), Pta. Testos- Pta Barbafeita (AR-333), Pta. Barbafeita-Pta.Cabalo (AR-332), (AR-334), Pta. Cabalo-Pta. Campelo (AR-335), Pta. Campelo-Cantiño (AR-336-I), (AR-336-II), Cantiño-Aguiuncho (AR-337), As Aceñas (AR-054), Areoso (AR-051), As Aceñas (AR-054),;",2018073
BESP,C.P. Arcade,F,A pé;,"CTG, CLJ, COC,","Bancos intermareais dende a caseta do Ceboleiro ata pedra dos Caralletes,",200,"De xaneiro a decembro,","Lonxa de Arcade,","GAL 11/05:  Malvinas (VI-167), Estralo (VI-170), Puntal-1 (VI-168-I), Río do Medio-1 (VI-186-I),  Area Nova (VI-169), Río Alvedosas-1 (VI-172-I),  Río de Paredes-1 (VI-001-I),; GAL 11/06-1: Conejera (VI-171), O Puntal -2 (VI-168-II), Río do Medio-2 (VI-186-II),; GAL 11/06-2: Río Alvedosas-2 (VI-172-II), Río de Paredes-2 (VI-001-II),; Figura de protección LIC Ens. San Simón,;'",2018074
BESP,"C.P. Arcade, C.P. Vilaboa, (plan conxunto)",T,A pé;,"CTG, CLJ, COC,","Bancos intermareais de punta Cabalo a pedra dos Caralletes (Cunchido e Larache),",35,"De xaneiro a decembro,","Cunchido,","GAL 11/6-02: Cunchido (VI-004), Larache (VI-005),",2018075
BESP,C.P. Bueu,F,Endeño remolcado;,"VNR,","Entre punta Faxilda e punta Samieira (Raxó), entre punta de Debaixo dos Pinos (Marín) e punta Preguntoiro, entre praia Alada e Punta Couso,",15,"Xaneiro, decembro,","Lonxa de Bueu,"," -GAL 10/05: Área 1 Mourisca, Área 2 Pescadoira, Área 4 Portonovo, Área 5 Cabicastro,; -GAL 10/06: Área 3 Marín,;",2018076
BESP,C.P. Bueu,F,Rastro de vieira ou volandeira; (para rabioso),"GKL,","Exterior do arquipélago das illas Ons: ao oeste das illas Ons e Onza, (por fóra dos límites do Parque Nacional das Illas Atlánticas),",60,"De xaneiro a decembro,","Lonxa de Bueu,","Exterior do arquipélago das illas Ons: ao oeste das illas Ons e Onza, por fóra dos límites do Parque Nacional Illas Atlánticas,",2018077
BESP,"C.P. Bueu, C.P. Portonovo, C.P. Aldán-O Hio, (plan conxunto)",T,Embarcación;,"CTG, CTS, VNA, VNR, CLJ, VEV, ULO, COC, KLK, GKL, LVC,","De punta Cabicastro a punta Santa Mariña, da esquina noroeste do convento sito en punta Praceres ata punta Couso, illa de Ons, Onza,",229,"De xaneiro a decembro, cunha veda dun mes entre abril e maio,","Lonxa de Portonovo, Lonxa de Aldán, Lonxa de Bueu,"," -Area 1 - ALDÁN (de cabo Udra a punta Couso cara ao interior da ría. GAL 10/01, GAL 10/04,): (PO-137), (PO-124), (PO-125), (PO-126), (PO-127), (PO-128), (PO-129), (PO-130), (PO-131), (PO-132-I), (PO-132-II), (PO-133), (PO-127), (PO-134), (PO-135), (PO-136),; -Area 2 - MOURISCA (de cabo Udra a esquina leste do porto de Bueu. GAL 10/05,): (PO-027), (PO-032), (PO-028),; -Area 3 - PESCADOIRA (da esquina oeste do porto de Bueu ata punta Aguete. GAL 10/05,): (PO-063), (PO-033), (PO-120), (PO-119), (PO-121),; -Area 4 - MARIN (de punta Aguete á punta Praceres (esquina noroeste do convento). GAL 10/06,): (PO-047), (PO-116), (PO-117), (PO-115), (PO-128),; -Area 5 - PORTONOVO (de punta Cabicastro á punta Santa Mariña. GAL 10/05,): (PO-113-I), (PO-113-II), (PO-031), (PO-034),; -Area 6 - ONS (illas Ons e Oza. GAL 10/01,): (PO-030),;",2018078
BESP,C.P. Cambados,F,Embarcación;,"CTG, CTS, VNR, VNA, CLJ, COC, VEV, DSX, GKL,","Do Rego do Alcalde (Lañeiras de Fóra) á baliza de Orido, Arnela-Galiñeiro, do peirao de Meloxo ata As Negreiriñas,",145,"Xaneiro, de abril a setembro, decembro,","Embarcación de vixilancia na zona de traballo, batea de Tragove, Lonxa de Tragove,","Área 1: Dende Rego do Alcalde (Lañeiras de Fora) á baliza de Orido (AR-216),; Area 2: Arnela-Galiñeiro (AR-018),; Área 3: Peirao de Meloxo ata as Negreiriñas (AR-111),;",2018079
BESP,C.P. Cangas,F,A pé;,"CTS, CTG, CLJ, COC, LPZ, VNA, PEE, ULO, RAE,","Bancos intermareais desde punta Rodeira ata punta Couso,",120,"De xaneiro a decembro,","Lonxa de Cangas,","Subzonas Principais -GAL 11/04,: Congorza (VI-192), Massó, Praia Do Sinal (VI-047),; Subzonas secundarias -GAL 11/04,: O Forte (VI-193), Salgueirón (VI-194), Praia de Balea (VI-195), Praia do Medio (VI-196),; -GAL 11/01-1,: Praia do Porto (VI-197), Praia de Temperáns (VI-198), Praia das Moscas (VI-199), Areal dos Castros (VI-202),;'",2018080
BESP,C.P. Cangas,F,A pé;,"LPZ,","De punta Rodeira á praia de Canabal,",30,"De agosto a decembro,","Lonxa de Cangas,"," -GAL 11/04: Illa dos Ratos (VI-086),;",2018081
BESP,C.P. Cangas,F,Endeño remolcado;,"VNR,","Entre cabo Home e faro Borneira, illas Cíes,",40,"Xaneiro, de agosto a decembro,","Zona de produción, rampa da lonxa de Cangas,","GAL 11/04: -Subzona 1: Noroeste Ría de Vigo: Subrido–Salaiños (VI-007), Barra I (VI-008-I), Barra II (VI-008-II), Liméns (VI-091),; -Subzona 2: Illas Cíes: Cíes I (Illa Norte) (VI-006-1), Cíes II (Illa Sur) (VI-006-2),;",2018082
BESP,C.P. Carril,F,A pé;,"CTG, CTS, CLJ, COC,","Lombos do Ulla, praia Compostela-A Concha,",180,"De xaneiro a decembro,","Praia de Compostela-Concha, Lombos do Ulla,","Praia de Compostela - A Concha (AR-036),",2018083
BESP,C.P. Carril,F,Embarcación;,"CTG, CTS, CLJ, VNA, COC,","As Malveiras, As Briñas, O Con, Corbeiro,",150,"De xaneiro a decembro,","Zona de produción,","As Malveiras–As Briñas–O Con (AR–038), O Corbeiro (AR-068),",2018084
BESP,C.P. O Grove,F,Embarcación;,"CTG, CLJ, CTS, VNA, VNR, COC, VEV, DSX,","Delimitado na resolución de apertura,",150,"De xaneiro a decembro,","Lonxa do Grove, caseta de control (O Facho), embarcación de vixilancia,"," -GAL 09/09: Moreiras-1 (AR-085-I), Meloxo (AR-086),; -GAL 09/01: Moreiras-2 (AR-085-II), Migalliñas (AR-087), Rons (AR-088), Cantodorxo-1 (AR-089-I),; -GAL 09/08: Cantodorxo-2 (AR-089-I),;'",2018085
BESP,C.P. Moaña,F,A pé;,"CTS, CTG, CLJ, VNA, COC, EQK, RAE, PEE, VEV, ULO,","Bancos intermareais entre a punta Travesada e a praia de Canabal,",190,"De xaneiro a decembro,","Punta Travesada-peirao do forno do cal,; Domaio, Tella, Meira, Xunqueira, lonxa de Meira,; Borna, Con, Tirán, nas zonas rochosas traballadas en cada momento,;","(GAL 11/02; GAL 11/04; GAL 11/05;): Aradoiro (VI-145), Rande (VI-116), Fandicosta (VI-115), Domaio (VI 072), Domaio-solénidos (VI-084), A Tella-1 (VI-087), Borna-A Tella (VI-114), Borna-1 (VI-076), Borna-2 (VI-077), Borna-3 (VI-078), Latón (VI-074), Arroás (VI-113-I), (VI-113-II), O Cocho (VI-082-I), (VI-082-II), Meira (VI-075), Meira (solénidos) (VI-085), Praia da Xunqueira (VI-079), Xunqueira (solénidos) (VI-083), Con (VI-081), Tirán (VI-080), Canaval-peirao Tirán (VI-073),;'",2018086
BESP,"C.P. Moaña, C.P. Cangas, (plan conxunto)",T,A pé;,"CTG, CTS, CLJ, COC, PEE, VNA, VEV,","De punta Rodeira ata a praia de Canabal, illa dos Ratos,",60,"De xaneiro a decembro,","Illa dos Ratos, depuradora de Pilo,","GAL 11/05: Illa dos Ratos (VI-086),",2018087
BESP,"C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, (plan conxunto)",T,A pé;,"CTG, CTS, CLJ, COC, VNA, ULO, DSX, PEE, LPZ, RAE, VEV,","Zonas intermareais incluídas na parte interna da liña imaxinaria que une punta Santa Mariña (na beira norte da ría de Pontevedra) coa esquina noroeste do convento sito na punta Praceres, (na zona sur da ría),desde o convento de Praceres ata o faro verde da escollera da canalización do río Lérez,",160,"De xaneiro a decembro,","Casetas de control no cabo de Placeres, en Ameixal, na Reiboa (Combarro),; A Cantareira, Don Bernardo,","Zonas intermareais incluídas na parte interna da liña imaxinaria que une punta Santa Mariña (na beira norte da ría de Pontevedra) coa esquina noroeste do convento sito na Punta Placeres, (na zona sur da ría), e desde esquina noroeste do convento sito na Punta Placeres ata o faro verde da escolleira da canalización do río Lérez,;",2018088
BESP,"C.P. Pontevedra, C.P. Lourizán, C.P. Raxó, C.P. Sanxenxo, C.P. Marín, (plan conxunto)",T,Embarcación;,"CTG, CTS, CLJ, VNR, COC, VNA, ULO, VEV, OYF, DSX,","Parte interna da liña imaxinaria que une punta Santa Mariña, (na beira norte da ría de Pontevedra) coa esquina noroeste do convento sito en punta Praceres, (na zona sur da ría), desde o convento de Praceres ata o faro verde da escolleira da canalización do río Lérez,",153,"Xaneiro, de marzo a decembro, con rotación de bancos e unha veda de dous meses discontinua","Embarcación na zona de produción, lonxa de Campelo,"," -Río Lérez: Río Lérez: do peirao de Lourido ao fondo do río .GAL 10/07. (PO-019-I), Río Lérez: da ponte da Barca ao peirao de Lourido .GAL 10/08-2. (PO-019-II),; -Os Cantís: Os Cantís .GAL 10/07. (PO-013-I), (PO-013-II),; -A Brensa: A Brensa .GAL 10/06-2. (PO-198),; -Aguillóns: Aguillóns .GAL 10/06-2. (PO-010),; -Raxó: Desde pta. Aguillóns a punta Santa Mariña: Raxó .GAL 10/06. (PO-001), Raxó .GAL 10/06-2.(PO-001),; -Lourizán Praceres-Lourizán .GAL 10/07. (PO-023), (parte interna da liña imaxinaria que une pta. Santamariña (na beira norte da ría Pontevedra) coa esquina noroeste do convento sito punta Praceres, (na beira sur da ría); e dende esquina noroeste do convento sito punta Praceres ata o faro verde da escolleira de canalización do río Lérez, e de aquí ao peirao de Tenlo, na illa de Tambo,;); -Illa de Tambo norte (De pta. Corbeiro a peirao de Tenlo): Tambo norte-1 .GAL 10/06-2. (PO-194), Tambo norte-2 .GAL 10/07. (PO-195),; -Illa de Tambo sur (De punta Corbeiro a peirao de Tenlo): Tambo sur-1 .GAL 10/07. (PO-196), Tambo sur-2 .GAL 10/06-2. (PO-197),;",2018089
